Symbol , Exchange , Short Name , Market , Tradeable, Regular Market Price , Regular Market Change , Regular Market Previous Close , 50 Day Avg ,  200 Day Avg , 52 Week Low , 52 Week High 
RYE , PCX , Invesco S&P 500 Equal Weight En , us_market , 1 , 25.65 , 3.99 , 21.66 , 22.6203 , 26.516 , 15.91 , 49.03
IEO , BTS , iShares U.S. Oil & Gas Explorat , us_market , 1 , 29.8 , 4.48 , 25.32 , 26.714 , 31.5073 , 17.63 , 56.97
KRE , PCX , SPDR S&P Regional Banking ETF , us_market , 1 , 48.5 , 7.14 , 41.36 , 38.9074 , 38.1593 , 27.26 , 59.38
XLE , PCX , SPDR Select Sector Fund - Energ , us_market , 1 , 33.5499 , 4.6199 , 28.93 , 29.962 , 35.5163 , 22.88 , 62.44
VDE , PCX , Vanguard Energy ETF , us_market , 1 , 45.26 , 6.11 , 39.15 , 40.5177 , 47.5183 , 30.03 , 83.27
IYE , PCX , iShares U.S. Energy ETF , us_market , 1 , 17.88 , 2.35 , 15.53 , 16.0269 , 18.8406 , 12.13 , 32.84
JHME , PCX , John Hancock Multifactor Energy , us_market , 1 , 12.6499 , 1.6631 , 10.9868 , 11.4193 , 13.2257 , 7.712 , 24.85
IXC , PCX , iShares Global Energy ETF , us_market , 1 , 18.2401 , 2.2501 , 15.99 , 16.3763 , 18.773 , 12.23 , 31.72
FXO , PCX , First Trust Financials AlphaDEX , us_market , 1 , 31.6499 , 3.5599 , 28.09 , 26.948 , 25.8645 , 17.42 , 34.65
FILL , PCX , iShares MSCI Global Energy Prod , us_market , 1 , 11.61 , 1.28 , 10.33 , 10.4291 , 11.799 , 7.77 , 19.57
RDIV , PCX , Invesco Exchange-Traded Fund Tr , us_market , 1 , 31.394 , 3.364 , 28.03 , 27.7454 , 27.8011 , 19.38 , 40.11
PXI , NMS , Invesco DWA Energy Momentum ETF , us_market , 1 , 13.94 , 1.61 , 12.33 , 12.9577 , 14.6739 , 9 , 28.64
RDOG , PCX , ALPS ETF Trust ALPS REIT Divide , us_market , 1 , 38.0419 , 4.019 , 34.0229 , 34.7826 , 35.7196 , 23.83 , 51.35
RYF , PCX , Invesco S&P 500 Equal Weight Fi , us_market , 1 , 44.73 , 4.29 , 40.44 , 39.3003 , 38.0845 , 26 , 48.23
CRAK , PCX , VanEck Vectors Oil Refiners ETF , us_market , 1 , 21.622 , 1.9843 , 19.6377 , 19.8335 , 21.2354 , 13.801 , 30.338
IYG , PCX , iShares U.S. Financial Services , us_market , 1 , 139.16 , 12.88 , 126.28 , 124.098 , 122.112 , 86.42 , 156.97
VFH , PCX , Vanguard Financials ETF , us_market , 1 , 67.45 , 5.85 , 61.6 , 60.0137 , 58.7438 , 42.34 , 77.95
FNCL , PCX , Fidelity MSCI Financials Index  , us_market , 1 , 39.05 , 3.41 , 35.64 , 34.7243 , 34.0047 , 24.51 , 45.33
XLF , PCX , SPDR Select Sector Fund - Finan , us_market , 1 , 27.305 , 2.345 , 24.96 , 24.4606 , 23.9668 , 17.49 , 31.38
SPVU , PCX , Invesco S&P 500 Enhanced Value  , us_market , 1 , 31.3197 , 2.7253 , 28.5944 , 27.8347 , 28.0114 , 19.97 , 39.12
KIE , PCX , SPDR S&P Insurance ETF , us_market , 1 , 32.49 , 2.79 , 29.7 , 28.9729 , 28.1588 , 20.23 , 37.57
IWN , PCX , iShares Russell 2000 Value ETF , us_market , 1 , 117.795 , 9.805 , 107.99 , 104.674 , 99.7917 , 69.27 , 130.16
RPV , PCX , Invesco S&P 500 Pure Value ETF , us_market , 1 , 57.18 , 4.72 , 52.46 , 50.7251 , 49.1103 , 33.62 , 70
SMLV , PCX , SPDR SSGA US Small Cap Low Vola , us_market , 1 , 86.935 , 7.1669 , 79.7681 , 78.3109 , 76.7235 , 56 , 101.53
VTWV , NMS , Vanguard Russell 2000 Value ETF , us_market , 1 , 103.28 , 8.49 , 94.79 , 91.7629 , 87.384 , 60.58 , 113.24
